2.000000000000000000e+00,0.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.956605923867070773e+00,1.357543727489965990e-01,1.557242859020850911e+00,1.018560413762653161e+00,3.214081171733520037e+00
1.975479433666971207e+00,2.492732592665367342e-01,1.535884947826611002e+00,6.854776687072612340e-01,3.671445702174184866e+00
1.963825703420917446e+00,3.538339376525668212e-01,1.551891707021567424e+00,7.475899363177098689e-01,2.425168900944207451e+00
1.985238099621247532e+00,4.825730836298818272e-01,1.595808730579525658e+00,3.778857087500588907e-01,3.660364999788370266e+00
1.963989180453004080e+00,6.140735370194583265e-01,1.640739349994900786e+00,1.483250949843641031e+00,2.571352797329915063e+00
1.988291042019705079e+00,6.781462926592459750e-01,1.648239052083886769e+00,2.136824767778360723e+00,2.339752178968846241e+00
2.028994544725444715e+00,8.048544134259872918e-01,1.628900975707027410e+00,1.459868473852647952e+00,3.435252849941727860e+00
2.006075262796745751e+00,8.687601397473087017e-01,1.624505588611827811e+00,9.858974383814231857e-01,2.949766991461230781e+00
2.022037212549350205e+00,9.441539563100135313e-01,1.636532836681100500e+00,1.711984133023531474e+00,3.405989290697907013e+00
2.010165867769919679e+00,1.053878384075576546e+00,1.669496963434131676e+00,9.374100045837101547e-01,3.263616976665630887e+00
2.009100425910759657e+00,1.133360628382227286e+00,1.640670433131029782e+00,1.552597320188923602e+00,3.658009517361754170e+00
1.961387088845982563e+00,1.249018266967735880e+00,1.663599166266232166e+00,1.490015049670792235e+00,2.649546713059295566e+00
1.943226666055162255e+00,1.397351830718995380e+00,1.656413529693804954e+00,1.068053092009662919e+00,3.002205416625422618e+00
1.960848334113582503e+00,1.532544677283314227e+00,1.683158983374524631e+00,2.383628454467937807e+00,3.787111717762557284e+00
1.932804818943979264e+00,1.649066299110329314e+00,1.740857161289325328e+00,2.298922051141392586e+00,2.542717197926768868e+00
1.943613291406085297e+00,1.744942423914885188e+00,1.745581300025699445e+00,1.619992126711462532e+00,3.796755042959282900e+00
1.844372639086935273e+00,1.832497637630302822e+00,1.755883934676963909e+00,1.592460611576762108e+00,2.848184941875652409e+00
1.805838978042303644e+00,1.887412897689423108e+00,1.798674624101447517e+00,2.216210988991448083e+00,3.378252748460341071e+00
1.759761680329618994e+00,2.005337863703111179e+00,1.788415471678447055e+00,2.695429230663621833e+00,3.275653034533998920e+00
1.710172654750148125e+00,2.123671555713259274e+00,1.864279030561884376e+00,2.254321472063415488e+00,3.025001780778558746e+00
